,0
0,19
1,25
2,39
3,64
4,105
5,172
6,262
7,400
8,660
9,1099
10,1798
11,2948
12,4428
13,6719
14,9818
15,14467
16,21114
17,30208
18,43242
19,62443
20,88369
21,121967
22,164025
23,205646
24,238708
25,268012
26,295407
27,317974
28,331941
29,335054
30,326388
31,304253
32,278206
33,255925
34,233040
35,207354
36,180554
37,154114
38,130101
39,108700
40,90701
41,75507
42,62825
43,52111
44,43008
45,35319
46,29187
47,23972
48,19740
49,16189
50,13274
51,10898
52,8719
53,7043
54,5743
55,4629
56,3803
57,3143
58,2537
59,1990
60,1586
61,1328
62,1102
63,905
64,756
65,648
66,537
67,452
68,383
69,335
70,301
71,258
72,204
73,170
74,134
75,101
76,92
77,77
78,58
79,43
80,28
81,23
82,22
83,20
84,23
85,18
86,18
87,22
88,20
89,24
90,21
91,18
92,15
93,12
94,12
95,12
96,7
97,5
98,1
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
