,0
0,10
1,12
2,19
3,27
4,21
5,29
6,49
7,70
8,89
9,195
10,286
11,498
12,801
13,1208
14,1453
15,2196
16,3301
17,4693
18,6872
19,10113
20,14595
21,20335
22,25283
23,32155
24,37399
25,38000
26,37008
27,39394
28,39046
29,35045
30,32310
31,29882
32,26763
33,23326
34,20338
35,17407
36,14368
37,12044
38,10078
39,8487
40,6854
41,5661
42,4912
43,3878
44,3277
45,2722
46,2272
47,1858
48,1572
49,1259
50,982
51,785
52,639
53,539
54,444
55,379
56,341
57,260
58,197
59,179
60,165
61,120
62,116
63,59
64,48
65,39
66,32
67,32
68,29
69,22
70,16
71,22
72,12
73,10
74,12
75,8
76,5
77,3
78,3
79,6
80,1
81,5
82,8
83,5
84,3
85,1
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
