,0
0,9
1,6
2,14
3,25
4,41
5,67
6,100
7,138
8,260
9,448
10,705
11,1164
12,1505
13,2332
14,3166
15,4749
16,6785
17,9354
18,13482
19,19906
20,27090
21,35103
22,44390
23,44787
24,37811
25,36089
26,36749
27,36049
28,33873
29,30203
30,26437
31,22255
32,18740
33,15530
34,13204
35,11063
36,9249
37,7433
38,6190
39,5036
40,4256
41,3546
42,2848
43,2490
44,1960
45,1560
46,1301
47,975
48,804
49,705
50,631
51,472
52,311
53,284
54,260
55,187
56,149
57,144
58,99
59,84
60,68
61,53
62,58
63,63
64,38
65,41
66,33
67,14
68,15
69,20
70,19
71,15
72,9
73,4
74,5
75,0
76,5
77,0
78,1
79,4
80,0
81,4
82,3
83,3
84,3
85,0
86,0
87,5
88,2
89,4
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
