,0
0,14
1,20
2,27
3,138
4,1321
5,2392
6,16787
7,49010
8,91492
9,140720
10,168806
11,193557
12,221920
13,252058
14,282440
15,298188
16,292931
17,273856
18,244662
19,233829
20,223977
21,208023
22,187131
23,164565
24,141770
25,121032
26,102889
27,87452
28,73916
29,62156
30,52229
31,43864
32,36852
33,31065
34,26057
35,21852
36,18130
37,15141
38,12575
39,10464
40,8782
41,7250
42,5984
43,5036
44,4187
45,3456
46,2864
47,2378
48,2002
49,1698
50,1438
51,1200
52,968
53,801
54,693
55,565
56,483
57,399
58,344
59,267
60,205
61,172
62,131
63,98
64,85
65,75
66,55
67,36
68,35
69,34
70,31
71,30
72,24
73,25
74,25
75,25
76,23
77,21
78,17
79,13
80,12
81,11
82,9
83,7
84,5
85,3
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
