,0
0,15
1,18
2,131
3,1363
4,2795
5,15345
6,58383
7,112987
8,147420
9,173051
10,199179
11,228928
12,259461
13,289469
14,306213
15,289119
16,257106
17,241695
18,232628
19,220509
20,202732
21,180965
22,158251
23,136002
24,115931
25,98318
26,83651
27,70705
28,59749
29,50124
30,42225
31,35167
32,29527
33,24844
34,20825
35,17283
36,14260
37,11768
38,9736
39,8006
40,6656
41,5515
42,4547
43,3794
44,3166
45,2677
46,2211
47,1888
48,1608
49,1372
50,1179
51,1007
52,832
53,662
54,578
55,508
56,415
57,347
58,279
59,217
60,166
61,142
62,130
63,113
64,91
65,79
66,62
67,49
68,41
69,33
70,30
71,29
72,19
73,13
74,13
75,10
76,9
77,8
78,7
79,3
80,1
81,1
82,1
83,1
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
