,0
0,4
1,6
2,7
3,111
4,1183
5,1071
6,14405
7,32223
8,42482
9,49232
10,28092
11,24758
12,28474
13,31321
14,31453
15,30153
16,26966
17,23407
18,20038
19,17259
20,14906
21,12520
22,10429
23,8887
24,7358
25,6228
26,5264
27,4601
28,3723
29,3146
30,2593
31,2064
32,1875
33,1571
34,1220
35,1059
36,879
37,734
38,580
39,482
40,382
41,343
42,305
43,272
44,210
45,148
46,142
47,94
48,106
49,78
50,83
51,67
52,40
53,43
54,40
55,14
56,12
57,22
58,23
59,6
60,5
61,7
62,2
63,7
64,1
65,2
66,2
67,4
68,5
69,4
70,4
71,1
72,1
73,2
74,2
75,2
76,2
77,3
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
