,0
0,13
1,19
2,30
3,36
4,44
5,57
6,69
7,90
8,136
9,224
10,336
11,574
12,961
13,1618
14,2595
15,3624
16,5175
17,7551
18,10927
19,15702
20,22027
21,31224
22,44113
23,61904
24,84499
25,110312
26,138038
27,165900
28,195141
29,224326
30,250606
31,273891
32,289830
33,296792
34,296748
35,291671
36,283136
37,268940
38,250321
39,229245
40,205049
41,180627
42,158518
43,138326
44,119044
45,101215
46,85508
47,71711
48,59738
49,49384
50,40923
51,33927
52,28006
53,23213
54,19116
55,15584
56,12819
57,10469
58,8524
59,6973
60,5753
61,4743
62,3897
63,3158
64,2574
65,2073
66,1691
67,1398
68,1171
69,934
70,759
71,643
72,549
73,465
74,409
75,334
76,290
77,236
78,194
79,153
80,121
81,86
82,59
83,42
84,31
85,24
86,20
87,16
88,14
89,12
90,15
91,11
92,7
93,4
94,4
95,3
96,3
97,3
98,3
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
